documentTitle,current_iri,doc_created,doc_modified,publisher,license_statement,license_uri,citation,creator,comment,accessUrl,browserRedirectUri,dcterms_isPartOf,abstract
Plant Names in Botanical Databases,http://rs-test.tdwg.org/pnbd/doc/specification/,1994-12,1994-12,Hunt Institute for Botanical Documentation,Copyright 1994 by International Working Group on Taxonomic Databases for Plant Sciences (TDWG) All Rights Reserved,,TDWG Minimum Standard for Names in Botanical Databases Subgroup (Author: Frank A. Bisby). 1994. Plant Names in Botanical Databases. Hunt Institute for Botanical Documentation. http://rs-test.tdwg.org/pnbd/doc/specification/,Minimum Standard for Names in Botanical Databases Subgroup,Note: the introduction of this publication provides some historical information about TDWG and early standards it produced or adopted from elsewhere.,https://github.com/tdwg/prior-standards/raw/master/plant-names-in-botanical-databases/113-528-1-RV.pdf,https://github.com/tdwg/prior-standards/blob/master/plant-names-in-botanical-databases/113-528-1-RV.pdf,http://www.tdwg.org/standards/113,"This standard defines the taxonomic and nomenclatural concepts associated with the names of plants. It describes the component parts, their functions and their interrelations of significance in structuring a database. "
Authors of Plant Names,http://rs-test.tdwg.org/apn/doc/data/,1992,1992,"Royal Botanic Gardens, Kew","Copyright The Board of Trustees of the Royal Botanic Gardens, Kew 1992",,"Brummitt, R. K. and C. E. Powell. 1992. Authors of Plant Names. Kew Publishing. ISBN: 1842460854 http://rs-test.tdwg.org/apn/doc/data/1992",R. K. Brummitt  and C. E. Powell,"Note: Authors of Plant Names eBook is behind a GBP 60 paywall (http://shop.kew.org/authors-of-plant-names-11770).  Since 1998, the database of author names and their standard forms has been maintained and updated online as part of The International Plant Names Index (http://www.ipni.org/).",urn:isbn:1842460854,https://www.kew.org/data/authors.html,http://www.tdwg.org/standards/101,"An index of authors of plant scientific names. Includes flowering plants, gymnosperms, pteridophytes, bryophytes, algae, fungi and fossil plants. Full names, dates of birth and death when known, recommended abbreviations and groups in which names have been published, are given for each author. "
World Geographic Scheme for Recording Plant Distributions,http://rs-test.tdwg.org/wgsrpd/doc/data/,2001-08,2001-08,Hunt Institute for Botanical Documentation,Copyright 2001 International Working Group on Taxonomic Databases (TDWG). All rights reserved.,,"TDWG World Geographic Scheme for Recording Plant Distributions Committee (Author: R. K. Brummitt). 2001. World Geographic Scheme for Recording Plant Distributions. Hunt Institute for Botanical Documentation, Carnegie Mellon University (Pittsburgh). http://rs-test.tdwg.org/wgsrpd/doc/data/",TDWG World Geographic Scheme for Recording Plant Distributions Committee,,https://github.com/tdwg/wgsrpd/raw/master/109-488-1-ED/2nd%20Edition/TDWG_geo2.pdf,https://github.com/tdwg/wgsrpd/blob/master/109-488-1-ED/2nd%20Edition/TDWG_geo2.pdf,http://www.tdwg.org/standards/109,"This document defines a schem for recording geographical units.  The system offered covers the whole world and identifies units at four levels, firstly continental, secondly regional (or subcontinental), thirdly at what may be called “Botanical Country” level (which may often ignore purely political considerations), and fourthly at a slightly lower level called “Basic Recording Units” where political integrity is fully recognised."
XDF: A Language for the Definition and Exchange of Biological Data Sets,http://rs-test.tdwg.org/xdf/doc/,1992,1992,IUBS Commission for Plant Taxonomic Databases (TDWG),Unknown,,TDWG XDF Subgroup (Authors: R. J. White and R. Allkin). 1992. XDF: A Language for the Definition and Exchange of Biological Data Sets. IUBS Commission for Plant Taxonomic Databases (TDWG). http://rs-test.tdwg.org/xdf/doc/,TDWG XDF Subgroup ,Note: the article linked to the access uri does not seem to be the actual standard itself.  See reference number 16,https://doi.org/10.1016/0895-7177(92)90163-F,https://doi.org/10.1016/0895-7177(92)90163-F,http://www.tdwg.org/standards/108,"XDF (the Exchange Data Format) is a database file exchange medium to handle diverse classes of biological data required for file transfers between different database projects. Data sets prepared in XDF consists of text files that are effectively independent of any particular project. XDF is a high-level language for describing biological data, with its own syntax and command vocabulary, analogous to the high-level programming languages used to describe software algorithms. "
B-P-H/S: Botanico-Periodicum-Huntianum/Supplementum,http://rs-test.tdwg.org/bphsup/doc/book/,1991,1991,Hunt Institute for Botanical Documentation,Unknown,,"Bridson, G. D. R. and E. R. Smith. 1991. B-P-H/S: Botanico-Periodicum-Huntianum/Supplementum. Hunt Institute for Botanical Documentation, Carnegie Mellon University (Pittsburgh). ISBN: 0913196541. http://rs-test.tdwg.org/bphsup/doc/book/",G. D. R. Bridson and E. R. Smith,Available only in print and is out of print. See http://huntbotanical.org/publications/show.php?=92. Contained additional entries and was a key to entries in it and in the first edition of B-P-H.,urn:isbn:0913196541,http://huntbotanical.org/publications/show.php?=92,http://www.tdwg.org/standards/114,"A supplement to and partial revision of B-P-H (1968), B-P-H/S: Botanico-Periodicum-Huntianum/Supplementum (1991) contains over 25,000 title entries arranged alphabetically by title and is designed as a key to entries in both volumes. It features citation abbreviations for all titles, improved cross-referencing and an expanded thesaurus of title words and their abbreviation equivalents. The supplement includes periodicals dealing with biotechnology, molecular biology, environmental studies and conservation. "
"Index Herbariorum. Part I: The Herbaria of the World (Regnum Vegetabile, Vol. 120, eighth edition)",http://rs-test.tdwg.org/ih/doc/book/,1990,1990,New Your Botanical Gardens,Unknown,,"Holmgren, P. K., N. H. Holmgren, and L. C. Barnett. 1990. Index Herbariorum. Part I: The Herbaria of the World (Regnum Vegetabile, Vol. 120, eighth edition). New York Botanical Gardens. ISBN: 0893273589. http://rs-test.tdwg.org/ih/doc/book/","P. K. Holmgren, N. H. Holmgren, and L. C. Barnett",Online database at http://sweetgum.nybg.org/science/ih/,urn:isbn:0893273589,http://sweetgum.nybg.org/science/ih/,http://www.tdwg.org/standards/105,"Index Herbariorum is a guide to the world's herbaria.  The Index Herbariorum (IH) entry for an herbarium includes its physical location, URL, contents (e.g., number and type of specimens), founding date, as well as names, contact information and areas of expertise of associated staff. Only those collections that are permanent scientific repositories are included in IH."
The International Transfer Format (ITF) for Botanic Garden Plant Records (Version 2),http://rs-test.tdwg.org/itfbgpr/doc/specification/,1987-09-15,1998,Botanic Gardens Conservation International,Copyright 1998 Botanic Gardens Conservation International,,"Wyse Jackson, D., C. Hobson, B. Conn, R. Piacentini, S. Waldren, C. Ward, K. Bailey, P. Wyse Jackson, S. T. Wood, K. Walter. 1998. The International Transfer Format (ITF) for Botanic Garden Plant Records (Version 2). Botanic Gardens Conservation International. http://rs-test.tdwg.org/itfbgpr/doc/specification/","D. Wyse Jackson, C. Hobson, B. Conn, R. Piacentini, S. Waldren, C. Ward, K. Bailey, P. Wyse Jackson, S. T. Wood, K. Walter",Available only in electronic format.,http://www.bgci.org/files/Databases/itf2.pdf,http://www.bgci.org/files/Databases/itf2.pdf,http://www.tdwg.org/standards/102,This document contains a complete description of version 2 of the International Transfer Format for Botanic Garden Records. It includes all the information which institutions will need when making use of the ITF2 to send or receive plant records in the ITF2 format. The annexes to this manual describe some of the problem areas which needed to be addressed during the definition of ITF2. 
Floristic Regions of the World,http://rs-test.tdwg.org/frw/doc/book/,1986-09-04,1986-09-04,University of California Press ,Unknown,,"Takhtajan, A. L. 1986. Floristic Regions of the World. University of California Press. http://rs-test.tdwg.org/frw/doc/book/",A. L. Takhtajan,First English Language Edition. Seems to be available in print only.,urn:isbn:0520040279,https://github.com/tdwg/prior-standards/tree/master/floristic-regions-of-the-world,http://www.tdwg.org/standards/104,"This book describes the floristic divisions for the whole world, lists endemic families and genera, and provides examples of endemic species for each province."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 1)",http://rs-test.tdwg.org/tl/doc/v1/,1976,1976,"Bohn, Scheltema, and Holkema","Copyright 1976 Frans A. Stafleu, Utrecht, The Netherlands. No part may be reproduced without permission of the publisher.",,"Stafleu, F. A. and R. S. Cowan. 1976. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 1). Bohn, Scheltema, and Holkema. http://rs-test.tdwg.org/tl/doc/v1/",F. A. Stafleu and R. S. Cowan,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=1#page/11,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors A-G. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 2)",http://rs-test.tdwg.org/tl/doc/v2/,1979,1979,"Bohn, Scheltema, and Holkema","Copyright 1979 Frans A. Stafleu, Utrecht, The Netherlands. No part may be reproduced without permission of the publisher.",,"Stafleu, F. A. and R. S. Cowan. 1979. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 2). Bohn, Scheltema, and Holkema. http://rs-test.tdwg.org/tl/doc/v2/",F. A. Stafleu and R. S. Cowan,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=2#page/11,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors H-Le. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 3)",http://rs-test.tdwg.org/tl/doc/v3/,1981,1981,"Bohn, Scheltema, and Holkema","Copyright 1981 Frans A. Stafleu, Utrecht, The Netherlands. No part may be reproduced without permission of the publisher.",,"Stafleu, F. A. and R. S. Cowan. 1981. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 3). Bohn, Scheltema, and Holkema. http://rs-test.tdwg.org/tl/doc/v3/",F. A. Stafleu and R. S. Cowan,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=3#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Lh-O. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 4)",http://rs-test.tdwg.org/tl/doc/v4/,1983,1983,"Bohn, Scheltema, and Holkema","Copyright 1983 Frans A. Stafleu, Utrecht, The Netherlands. No part may be reproduced without permission of the publisher.",,"Stafleu, F. A. and R. S. Cowan. 1983. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 4). Bohn, Scheltema, and Holkema. http://rs-test.tdwg.org/tl/doc/v4/",F. A. Stafleu and R. S. Cowan,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=4#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors P-Sak. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 5)",http://rs-test.tdwg.org/tl/doc/v5/,1985,1985,"Bohn, Scheltema, and Holkema","Copyright 1985 Frans A. Stafleu, Utrecht, The Netherlands. No part may be reproduced without permission of the publisher.",,"Stafleu, F. A. and R. S. Cowan. 1985. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 5). Bohn, Scheltema, and Holkema. http://rs-test.tdwg.org/tl/doc/v5/",F. A. Stafleu and R. S. Cowan,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=5#page/11,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Sal-Ste. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 6)",http://rs-test.tdwg.org/tl/doc/v6/,1986,1986,"Bohn, Scheltema, and Holkema","Copyright 1986 Frans A. Stafleu, Utrecht, The Netherlands. No part may be reproduced without permission of the publisher.",,"Stafleu, F. A. and R. S. Cowan. 1986. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 6). Bohn, Scheltema, and Holkema. http://rs-test.tdwg.org/tl/doc/v6/",F. A. Stafleu and R. S. Cowan,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=6#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Sti-Vuy. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 7)",http://rs-test.tdwg.org/tl/doc/v7/,1988,1988,"Bohn, Scheltema, and Holkema","Copyright 1988 Frans A. Stafleu, Utrecht, The Netherlands. No part may be reproduced without permission of the publisher.",,"Stafleu, F. A. and R. S. Cowan. 1988. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (Second edition, vol. 7). Bohn, Scheltema, and Holkema. http://rs-test.tdwg.org/tl/doc/v7/",F. A. Stafleu and R. S. Cowan,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=7#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors W-Z. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 1)",http://rs-test.tdwg.org/tl/doc/s1/,1992,1992,Koeltz Scientific Books,Copyright 1992 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Stafleu, F. A. and E. A. Mennega. 1992. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 1). Koeltz Scientific Books. http://rs-test.tdwg.org/tl/doc/s1/",F. A. Stafleu and E. A. Mennega,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=8#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors A-Ba. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 2)",http://rs-test.tdwg.org/tl/doc/s2/,1993,1993,Koeltz Scientific Books,Copyright 1993 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Stafleu, F. A. and E. A. Mennega. 1993. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 2). Koeltz Scientific Books. http://rs-test.tdwg.org/tl/doc/s2/",F. A. Stafleu and E. A. Mennega,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=9#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Be-Bo. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 3)",http://rs-test.tdwg.org/tl/doc/s3/,1995,1995,Koeltz Scientific Books,Copyright 1995 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Stafleu, F. A. and E. A. Mennega. 1995. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 3). Koeltz Scientific Books. http://rs-test.tdwg.org/tl/doc/s3/",F. A. Stafleu and E. A. Mennega,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=10#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Br-Ca. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 4)",http://rs-test.tdwg.org/tl/doc/s4/,1997,1997,Koeltz Scientific Books,Copyright 1997 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Stafleu, F. A. and E. A. Mennega. 1997. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 4). Koeltz Scientific Books. http://rs-test.tdwg.org/tl/doc/s4/",F. A. Stafleu and E. A. Mennega,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=11#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Ce-Cz. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 5)",http://rs-test.tdwg.org/tl/doc/s5/,1998,1998,Koeltz Scientific Books,Copyright 1998 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Stafleu, F. A. and E. A. Mennega. 1998. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 5). Koeltz Scientific Books. http://rs-test.tdwg.org/tl/doc/s5/",F. A. Stafleu and E. A. Mennega,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=12#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Da-Di. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 6)",http://rs-test.tdwg.org/tl/doc/s6/,2000,2000,Koeltz Scientific Books,Copyright 2000 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Stafleu, F. A. and E. A. Mennega. 2000. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 6). Koeltz Scientific Books. http://rs-test.tdwg.org/tl/doc/s6/",F. A. Stafleu and E. A. Mennega,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=13#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Do-E. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 7)",http://rs-test.tdwg.org/tl/doc/s7/,2008,2008,A.R.G. Gantner Verlag K.G.,Copyright 2008 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Dorr, L. J. and D. H. Nicolson. 2008. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 7). A.R.G. Gantner Verlag K.G. http://rs-test.tdwg.org/tl/doc/s7/",L. J. Dorr and D. H. Nicolson,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=14#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors F-Frer. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 8)",http://rs-test.tdwg.org/tl/doc/s8/,2009,2009,A.R.G. Gantner Verlag K.G.,Copyright 2009 International Association for Plant Taxonomy (Europe). No part may be reproduced without permission of the copyright holder,,"Dorr, L. J. and D. H. Nicolson. 2009. Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 8). A.R.G. Gantner Verlag K.G. http://rs-test.tdwg.org/tl/doc/s8/",L. J. Dorr and D. H. Nicolson,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=15#page/7,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm,http://www.tdwg.org/standards/111,"Authors Fres-G. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
B-P-H-2: Periodicals with Botanical content (edition 2),http://rs-test.tdwg.org/bph/doc/,1968,2004,Hunt Institute for Botanical Documentation,Unknown,,"Bridson, G. D. R. 2004. B-P-H-2: Periodicals with Botanical content (edition 2). Hunt Institute for Botanical Documentation, Carnegie Mellon University (Pittsburgh). ISBN: 0913196789. http://rs-test.tdwg.org/bph/doc/",G. D. R. Bridson,The second edition includes material in both the first edition of B-H-P and the 1991 B-P-H/S supplement.  The print version is out of print.  See http://huntbotanical.org/publications/show.php?=92. The online database is at http://huntbotanical.org/databases/show.php?1,urn:isbn:0913196789,http://huntbotanical.org/publications/show.php?=92,http://www.tdwg.org/standards/112,This edition includes the abbreviations for titles of books.
